Sample ID,Treatment,Treatment Details,Barcode,antibody,replicate,Flag,Normalized
BJ_01,Untreated,Untreated rep 1,21403,05-184,0,1,313
BJ_01,Untreated,Untreated rep 1,21403,05-184,1,1,273
BJ_01,Untreated,Untreated rep 1,21403,05-746,0,0,799
BJ_01,Untreated,Untreated rep 1,21403,05-746,1,0,762
BJ_01,Untreated,Untreated rep 1,21403,06-2020,0,0,1566
BJ_01,Untreated,Untreated rep 1,21403,06-2020,1,0,1702
BJ_01,Untreated,Untreated rep 1,21403,06-519,0,0,1166
BJ_01,Untreated,Untreated rep 1,21403,06-519,1,0,775
BJ_01,Untreated,Untreated rep 1,21403,06-570,0,0,6250
BJ_01,Untreated,Untreated rep 1,21403,06-570,1,0,8690
BJ_01,Untreated,Untreated rep 1,21403,07-007,0,0,255
BJ_01,Untreated,Untreated rep 1,21403,07-007,1,0,473
BJ_01,Untreated,Untreated rep 1,21403,07-021,0,0,549
BJ_01,Untreated,Untreated rep 1,21403,07-021,1,0,553
BJ_01,Untreated,Untreated rep 1,21403,07-139,0,0,762
BJ_01,Untreated,Untreated rep 1,21403,07-139,1,0,617
BJ_01,Untreated,Untreated rep 1,21403,07-191,0,0,882
BJ_01,Untreated,Untreated rep 1,21403,07-191,1,0,1061
BJ_01,Untreated,Untreated rep 1,21403,07-303,0,0,2642
BJ_01,Untreated,Untreated rep 1,21403,07-303,1,0,2413
BJ_01,Untreated,Untreated rep 1,21403,07-433,0,0,354
BJ_01,Untreated,Untreated rep 1,21403,07-433,1,0,334
BJ_01,Untreated,Untreated rep 1,21403,07-443,0,0,732
BJ_01,Untreated,Untreated rep 1,21403,07-443,1,0,583
BJ_01,Untreated,Untreated rep 1,21403,100-401-149,0,0,821
BJ_01,Untreated,Untreated rep 1,21403,100-401-149,1,0,801
BJ_01,Untreated,Untreated rep 1,21403,100-401-151,0,0,543
BJ_01,Untreated,Untreated rep 1,21403,100-401-151,1,0,833
BJ_01,Untreated,Untreated rep 1,21403,11034,0,1,6077
BJ_01,Untreated,Untreated rep 1,21403,11034,1,1,5701
